profile	1.1.0	1.1.0-b869d61-dirty-gfx906	cpu_arch=x86_64,gpu_arch=gfx906,hip_version=14.0.0	# Last updated Sun Oct 29 10:47:42 2023

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
    0.138103	     38.9006	     38.9006	           5	   0.0276205	     32x32x32x64	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,lie_group	# 0.00 Gflop/s, 30.07 GB/s, tuning took 15.919351 seconds at Sat Oct 28 19:35:22 2023
   0.0447956	      12.618	     51.5186	          40	  0.00111989	 bytes=301989888	hipMemcpyDefault	copy,cuda_gauge_field.cpp,576	# 0.00 Gflop/s, 269.66 GB/s, tuning took 0.009301 seconds at Sat Oct 28 19:34:59 2023
   0.0340448	     9.58971	     61.1083	          10	  0.00340448	     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,comm=0000	# 406.56 Gflop/s, 709.63 GB/s, tuning took 7.724790 seconds at Sat Oct 28 19:35:33 2023
   0.0268352	     7.55892	     68.6672	          10	  0.00268352	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 759.61 GB/s, tuning took 2.364199 seconds at Sat Oct 28 19:35:02 2023
   0.0217624	     6.13001	     74.7972	           5	  0.00435248	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1048576precision=8geometry=4Nc=3	# 0.00 Gflop/s, 468.34 GB/s, tuning took 2.836764 seconds at Sat Oct 28 19:35:24 2023
   0.0211904	     5.96889	     80.7661	          20	  0.00105952	 bytes=301989888	hipMemcpyDefault	saveCPUField,cuda_gauge_field.cpp,658	# 0.00 Gflop/s, 285.03 GB/s, tuning took 0.012100 seconds at Sat Oct 28 19:35:24 2023
   0.0160272	     4.51453	     85.2806	          10	  0.00160272	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3	# 0.00 Gflop/s, 777.25 GB/s, tuning took 1.136714 seconds at Sat Oct 28 19:35:05 2023
   0.0136709	     3.85081	     89.1314	          10	  0.00136709	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3	# 0.00 Gflop/s, 759.34 GB/s, tuning took 1.245036 seconds at Sat Oct 28 19:35:04 2023
   0.0098005	      2.7606	      91.892	           5	   0.0019601	     32x32x32x64	N4quda7RNGInitE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.132303 seconds at Sat Oct 28 19:35:05 2023
  0.00897492	     2.52805	     94.4201	          10	 0.000897492	     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	# 0.00 Gflop/s, 448.64 GB/s, tuning took 0.299458 seconds at Sat Oct 28 19:35:25 2023
  0.00780586	     2.19875	     96.6188	          10	 0.000780586	     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	# 0.00 Gflop/s, 515.83 GB/s, tuning took 0.027383 seconds at Sat Oct 28 19:35:34 2023
   0.0060488	     1.70382	     98.3226	          15	 0.000403253	     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	# 0.00 Gflop/s, 109.21 GB/s, tuning took 0.256420 seconds at Sat Oct 28 19:35:03 2023
  0.00270936	    0.763169	     99.0858	          45	 6.02079e-05	   bytes=6291456	hipMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 208.99 GB/s, tuning took 0.001082 seconds at Sat Oct 28 19:35:03 2023
  0.00100446	    0.282936	     99.3688	          15	 6.69641e-05	   bytes=3145728	hipMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 93.95 GB/s, tuning took 0.001685 seconds at Sat Oct 28 19:35:03 2023
 0.000969759	    0.273161	     99.6419	          15	 6.46506e-05	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3,ghost	# 0.00 Gflop/s, 702.49 GB/s, tuning took 0.065823 seconds at Sat Oct 28 19:35:03 2023
 0.000524443	    0.147725	     99.7896	          10	 5.24443e-05	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3,ghost	# 0.00 Gflop/s, 649.50 GB/s, tuning took 0.064451 seconds at Sat Oct 28 19:35:05 2023
 0.000439695	    0.123853	     99.9135	          10	 4.39695e-05	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3,ghost	# 0.00 Gflop/s, 645.57 GB/s, tuning took 0.056662 seconds at Sat Oct 28 19:35:04 2023
 0.000158613	    0.044678	     99.9582	           2	 7.93066e-05	  bytes=22020096	hipMemset	allocateGhostBuffer,lattice_field.cpp,293	# 0.00 Gflop/s, 277.66 GB/s, tuning took 0.001375 seconds at Sat Oct 28 19:35:02 2023
 0.000148507	   0.0418312	         100	           2	 7.42533e-05	  bytes=22020096	hipMemset	allocateGhostBuffer,lattice_field.cpp,288	# 0.00 Gflop/s, 296.55 GB/s, tuning took 0.006968 seconds at Sat Oct 28 19:35:02 2023

# Total time spent in kernels = 0.355014 seconds
