tunecache	1.1.0	1.1.0-b869d61-dirty-gfx906	cpu_arch=x86_64,gpu_arch=gfx906,hip_version=14.0.0	# Last updated Sat Oct 28 19:58:21 2023

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
     16x16x16x32	N4quda10CopyCloverINS_6clover11FloatNOrderIfLi72ELi4ELb0ELb0ELb0EEENS2_IdLi72ELi2ELb0ELb0ELb0EEEfdEE	GPU-offline,vol=131072precision=8Nc=3	64	1	1	1024	2	1	2910	-1	-1	-1	-1	0.000185066	# 0.00 Gflop/s, 611.92 GB/s, tuning took 0.535235 seconds at Sat Oct 28 19:58:14 2023
     16x16x16x32	N4quda10CopyCloverINS_6clover11FloatNOrderIsLi72ELi8ELb0ELb0ELb0EEENS2_IdLi72ELi2ELb0ELb0ELb0EEEsdEE	GPU-offline,vol=131072precision=8Nc=3	64	1	1	1024	2	1	2134	-1	-1	-1	-1	0.000154423	# 0.00 Gflop/s, 611.13 GB/s, tuning took 0.128454 seconds at Sat Oct 28 19:58:13 2023
     16x16x16x32	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,lie_group	64	1	1	1024	2	1	1143	-1	-1	-1	-1	0.00183792	# 0.00 Gflop/s, 29.10 GB/s, tuning took 0.699589 seconds at Sat Oct 28 17:56:34 2023
     16x16x16x32	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_IdLi18ELi2ELi12ELS3_0ELb1ELS4_n2147483648ELb0EEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3vol=131072stride=65536precision=8geometry=4Nc=3r=0000	64	1	1	1024	2	1	1334	-1	-1	-1	-1	0.000188533	# 0.00 Gflop/s, 684.10 GB/s, tuning took 0.134550 seconds at Sat Oct 28 19:58:14 2023
     16x16x16x32	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES5_EE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3vol=131072stride=65536precision=8geometry=4Nc=3r=0000	64	1	1	1024	2	1	1104	-1	-1	-1	-1	0.000218304	# 0.00 Gflop/s, 713.29 GB/s, tuning took 0.369142 seconds at Sat Oct 28 19:57:52 2023
     16x16x16x32	N4quda12CloverInvertIdEE	GPU-offline,vol=131072precision=8Nc=3,trlog=true,twist=false	64	2	1	120	1	1	2134	-1	-1	-1	-1	0.000606079	# 0.00 Gflop/s, 249.13 GB/s, tuning took 17.517622 seconds at Sat Oct 28 19:58:12 2023
     16x16x16x32	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,extract	64	1	3	128	1	3	2462	-1	-1	-1	-1	2.976e-05	# 0.00 Gflop/s, 184.98 GB/s, tuning took 0.038915 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,extract	256	1	1	32	1	8	16001	-1	-1	-1	-1	4.28648e-05	# 0.00 Gflop/s, 192.64 GB/s, tuning took 0.065419 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda13ComputeCloverIdEE	GPU-offline,vol=131072precision=8Nc=3	256	1	1	256	2	1	0	-1	-1	-1	-1	0.0002608	# 241.24 Gflop/s, 723.71 GB/s, tuning took 0.027854 seconds at Sat Oct 28 19:57:55 2023
     16x16x16x32	N4quda5FmunuIdLi3EL21QudaReconstructType_s18EEE	GPU-offline,vol=131072stride=65536precision=8geometry=4Nc=3r=0000,comm=0000	128	2	1	512	1	6	4572	-1	-1	-1	-1	0.00224288	# 864.67 Gflop/s, 858.36 GB/s, tuning took 2.468026 seconds at Sat Oct 28 19:57:55 2023
     16x16x16x32	N4quda7RNGInitE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3	192	1	1	342	2	1	0	-1	-1	-1	-1	0.00012562	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.011985 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=131072stride=65536precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3	64	1	1	1024	1	8	10667	-1	-1	-1	-1	0.000171333	# 0.00 Gflop/s, 752.77 GB/s, tuning took 0.119298 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3,ghost	192	1	1	22	1	8	6401	-1	-1	-1	-1	1.37513e-05	# 0.00 Gflop/s, 425.35 GB/s, tuning took 0.028694 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=131072stride=65536precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3	64	1	1	1024	1	8	8001	-1	-1	-1	-1	0.000243104	# 0.00 Gflop/s, 640.52 GB/s, tuning took 0.706384 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=8geometry=4Nc=3,ghost	192	1	1	22	1	8	3556	-1	-1	-1	-1	2.07314e-05	# 0.00 Gflop/s, 423.20 GB/s, tuning took 0.051695 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=65536precision=8geometry=4Nc=3	64	1	1	1024	1	8	16001	-1	-1	-1	-1	0.000288	# 0.00 Gflop/s, 447.83 GB/s, tuning took 0.151011 seconds at Sat Oct 28 17:56:34 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3	192	1	1	342	1	8	10667	-1	-1	-1	-1	0.000101216	# 0.00 Gflop/s, 792.52 GB/s, tuning took 0.068363 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3,ghost	64	1	4	64	1	2	5334	-1	-1	-1	-1	1.22731e-05	# 0.00 Gflop/s, 357.43 GB/s, tuning took 0.027043 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3	192	1	1	342	1	8	10667	-1	-1	-1	-1	0.00010536	# 0.00 Gflop/s, 1015.14 GB/s, tuning took 0.108091 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=4geometry=4Nc=3,ghost	192	1	1	22	1	8	2667	-1	-1	-1	-1	1.51281e-05	# 0.00 Gflop/s, 386.64 GB/s, tuning took 0.477560 seconds at Sat Oct 28 19:57:52 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3	256	1	1	256	1	8	16001	-1	-1	-1	-1	8.57066e-05	# 0.00 Gflop/s, 779.95 GB/s, tuning took 0.062836 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3,ghost	256	1	1	16	1	8	8001	-1	-1	-1	-1	1.16854e-05	# 0.00 Gflop/s, 312.84 GB/s, tuning took 0.027128 seconds at Sat Oct 28 17:56:33 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3	128	1	1	512	1	8	6401	-1	-1	-1	-1	8.89162e-05	# 0.00 Gflop/s, 1052.51 GB/s, tuning took 0.079861 seconds at Sat Oct 28 19:57:51 2023
     16x16x16x32	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=131072stride=69632precision=8geometry=4Nc=3,vol=131072stride=69632precision=2geometry=4Nc=3,ghost	128	1	1	32	1	8	10667	-1	-1	-1	-1	1.8127e-05	# 0.00 Gflop/s, 282.34 GB/s, tuning took 0.048719 seconds at Sat Oct 28 19:57:51 2023
     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	192	1	1	5462	1	1	0	-1	-1	-1	-1	0.000897492	# 0.00 Gflop/s, 448.64 GB/s, tuning took 0.299458 seconds at Sat Oct 28 19:35:25 2023
     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	192	1	1	5462	1	1	0	-1	-1	-1	-1	0.000780586	# 0.00 Gflop/s, 515.83 GB/s, tuning took 0.027383 seconds at Sat Oct 28 19:35:34 2023
     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy,GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000111100110000	64	1	1	1	1	1	0	0	0	0	-1	0.00340944	# 405.97 Gflop/s, 708.60 GB/s, tuning took 0.908548 seconds at Sat Oct 28 19:35:34 2023
     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=interior,GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,comm=0000	192	1	1	5462	1	1	3556	-1	-1	-1	-1	0.00340448	# 406.56 Gflop/s, 709.63 GB/s, tuning took 7.724790 seconds at Sat Oct 28 19:35:33 2023
          294912	N4quda15TransformReduceINS_7maximumIdEEKNS_7complexIdEEmNS_8abs_max_IddEENS_8identityEEE	,batch_size=1	256	1	1	111	1	1	0	-1	-1	-1	-1	2.82352e-05	# 0.00 Gflop/s, 167.12 GB/s, tuning took 0.044794 seconds at Sat Oct 28 17:54:48 2023
     32x32x32x64	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,lie_group	64	1	1	16384	2	1	1186	-1	-1	-1	-1	0.0276205	# 0.00 Gflop/s, 30.07 GB/s, tuning took 15.919351 seconds at Sat Oct 28 19:35:22 2023
     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	64	1	2	1024	1	4	4572	-1	-1	-1	-1	0.000403253	# 0.00 Gflop/s, 109.21 GB/s, tuning took 0.256420 seconds at Sat Oct 28 19:35:03 2023
     32x32x32x64	N4quda7RNGInitE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3	192	1	1	5462	2	1	0	-1	-1	-1	-1	0.0019601	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.132303 seconds at Sat Oct 28 19:35:05 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	64	1	1	16384	1	8	10667	-1	-1	-1	-1	0.00268352	# 0.00 Gflop/s, 759.61 GB/s, tuning took 2.364199 seconds at Sat Oct 28 19:35:02 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3,ghost	192	1	1	171	1	8	16001	-1	-1	-1	-1	6.46506e-05	# 0.00 Gflop/s, 702.49 GB/s, tuning took 0.065823 seconds at Sat Oct 28 19:35:03 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1048576precision=8geometry=4Nc=3	192	1	1	5462	1	8	3556	-1	-1	-1	-1	0.00435248	# 0.00 Gflop/s, 468.34 GB/s, tuning took 2.836764 seconds at Sat Oct 28 19:35:24 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3	256	1	1	4096	1	8	3201	-1	-1	-1	-1	0.00160272	# 0.00 Gflop/s, 777.25 GB/s, tuning took 1.136714 seconds at Sat Oct 28 19:35:05 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3,ghost	64	1	1	512	1	8	2910	-1	-1	-1	-1	5.24443e-05	# 0.00 Gflop/s, 649.50 GB/s, tuning took 0.064451 seconds at Sat Oct 28 19:35:05 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3	64	1	1	16384	1	8	2910	-1	-1	-1	-1	0.00136709	# 0.00 Gflop/s, 759.34 GB/s, tuning took 1.245036 seconds at Sat Oct 28 19:35:04 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3,ghost	128	1	1	256	1	8	3201	-1	-1	-1	-1	4.39695e-05	# 0.00 Gflop/s, 645.57 GB/s, tuning took 0.056662 seconds at Sat Oct 28 19:35:04 2023
         4718592	N4quda15TransformReduceINS_7maximumIdEEKNS_7complexIdEEmNS_8abs_max_IddEENS_8identityEEE	,batch_size=1	256	1	1	120	1	1	0	-1	-1	-1	-1	0.000220106	# 0.00 Gflop/s, 343.00 GB/s, tuning took 1.052085 seconds at Sat Oct 28 19:58:13 2023
        4x8x8x16	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=4096,parity=1,precision=8,order=9,Ns=4,Nc=3vol=4096,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	64	1	1	64	1	1	0	-1	-1	-1	-1	7.91782e-06	# 0.00 Gflop/s, 198.65 GB/s, tuning took 0.006652 seconds at Sat Oct 28 17:54:48 2023
        4x8x8x16	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=4096,parity=1,precision=8,order=2,Ns=4,Nc=3vol=4096,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	128	1	1	32	1	1	0	-1	-1	-1	-1	7.94181e-06	# 0.00 Gflop/s, 198.05 GB/s, tuning took 0.003723 seconds at Sat Oct 28 17:54:48 2023
